Data as of,Start week,End Week,Group,State,Indicator,COVID-19 Deaths,Total Deaths,Percent of Expected Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote
05/15/2020,02/01/2020,02/01/2020,By week,Minnesota,Week-ending,0,941,1.02,76,0,,82,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,02/08/2020,02/08/2020,By week,Minnesota,Week-ending,0,917,0.99,60,0,,69,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,02/15/2020,02/15/2020,By week,Minnesota,Week-ending,0,938,1.02,51,0,,58,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,02/22/2020,02/22/2020,By week,Minnesota,Week-ending,0,911,1.01,63,0,13,76,
05/15/2020,02/29/2020,02/29/2020,By week,Minnesota,Week-ending,0,930,1.07,67,0,17,84,
05/15/2020,03/07/2020,03/07/2020,By week,Minnesota,Week-ending,0,941,1.07,69,0,17,86,
05/15/2020,03/14/2020,03/14/2020,By week,Minnesota,Week-ending,0,871,1.03,49,0,16,65,
05/15/2020,03/21/2020,03/21/2020,By week,Minnesota,Week-ending,,887,1.01,66,,15,81,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,03/28/2020,03/28/2020,By week,Minnesota,Week-ending,12,900,1.06,60,,,73,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,04/04/2020,04/04/2020,By week,Minnesota,Week-ending,22,907,1.05,59,,,80,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,04/11/2020,04/11/2020,By week,Minnesota,Week-ending,43,918,1.02,91,18,,118,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,04/18/2020,04/18/2020,By week,Minnesota,Week-ending,72,909,1.07,86,22,,136,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,04/25/2020,04/25/2020,By week,Minnesota,Week-ending,127,939,1.14,91,40,0,178,
05/15/2020,05/02/2020,05/02/2020,By week,Minnesota,Week-ending,129,895,1.06,79,32,,177,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,05/09/2020,05/09/2020,By week,Minnesota,Week-ending,63,662,0.78,42,12,,94,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,02/01/2020,02/01/2020,By week,Mississippi,Week-ending,0,601,0.92,51,0,,53,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,02/08/2020,02/08/2020,By week,Mississippi,Week-ending,0,701,1.02,56,0,,62,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,02/15/2020,02/15/2020,By week,Mississippi,Week-ending,0,642,0.98,50,0,,54,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,02/22/2020,02/22/2020,By week,Mississippi,Week-ending,0,623,0.96,43,0,,48,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,02/29/2020,02/29/2020,By week,Mississippi,Week-ending,0,662,1.08,56,0,10,66,
05/15/2020,03/07/2020,03/07/2020,By week,Mississippi,Week-ending,0,646,1.03,55,0,,61,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,03/14/2020,03/14/2020,By week,Mississippi,Week-ending,0,611,0.96,49,0,,56,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,03/21/2020,03/21/2020,By week,Mississippi,Week-ending,,612,0.97,50,0,,56,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,03/28/2020,03/28/2020,By week,Mississippi,Week-ending,15,680,1.16,61,,,73,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,04/04/2020,04/04/2020,By week,Mississippi,Week-ending,50,690,1.11,82,22,,111,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,04/11/2020,04/11/2020,By week,Mississippi,Week-ending,60,666,1.11,81,33,,109,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,04/18/2020,04/18/2020,By week,Mississippi,Week-ending,58,699,1.18,84,28,0,114,
05/15/2020,04/25/2020,04/25/2020,By week,Mississippi,Week-ending,51,680,1.15,70,22,0,99,
05/15/2020,05/02/2020,05/02/2020,By week,Mississippi,Week-ending,68,588,1,60,28,0,100,
05/15/2020,05/09/2020,05/09/2020,By week,Mississippi,Week-ending,29,417,0.7,38,10,0,57,
05/15/2020,02/01/2020,02/01/2020,By week,Missouri,Week-ending,0,1351,1,86,0,12,98,
05/15/2020,02/08/2020,02/08/2020,By week,Missouri,Week-ending,0,1314,0.96,71,0,,75,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,02/15/2020,02/15/2020,By week,Missouri,Week-ending,0,1330,0.94,65,0,13,78,
05/15/2020,02/22/2020,02/22/2020,By week,Missouri,Week-ending,0,1339,1,61,0,30,91,
05/15/2020,02/29/2020,02/29/2020,By week,Missouri,Week-ending,0,1335,1.03,88,0,24,112,
05/15/2020,03/07/2020,03/07/2020,By week,Missouri,Week-ending,0,1332,1.02,85,0,22,107,
05/15/2020,03/14/2020,03/14/2020,By week,Missouri,Week-ending,0,1247,0.95,76,0,21,97,
05/15/2020,03/21/2020,03/21/2020,By week,Missouri,Week-ending,,1204,0.9,62,,22,84,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,03/28/2020,03/28/2020,By week,Missouri,Week-ending,14,1248,0.98,99,,13,119,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,04/04/2020,04/04/2020,By week,Missouri,Week-ending,47,1188,0.98,104,22,,135,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,04/11/2020,04/11/2020,By week,Missouri,Week-ending,83,1333,1.1,98,23,,159,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,04/18/2020,04/18/2020,By week,Missouri,Week-ending,69,1166,0.95,82,16,,137,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,04/25/2020,04/25/2020,By week,Missouri,Week-ending,85,1123,0.92,100,35,0,150,
05/15/2020,05/02/2020,05/02/2020,By week,Missouri,Week-ending,61,902,0.73,60,18,0,103,
05/15/2020,05/09/2020,05/09/2020,By week,Missouri,Week-ending,19,524,0.44,30,,0,42,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,02/01/2020,02/01/2020,By week,Montana,Week-ending,0,218,1.05,10,0,,11,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,02/08/2020,02/08/2020,By week,Montana,Week-ending,0,202,0.94,,0,,11,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,02/15/2020,02/15/2020,By week,Montana,Week-ending,0,198,0.9,,0,,11,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,02/22/2020,02/22/2020,By week,Montana,Week-ending,0,218,0.97,15,0,,17,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,02/29/2020,02/29/2020,By week,Montana,Week-ending,0,235,1.14,,0,,11,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,03/07/2020,03/07/2020,By week,Montana,Week-ending,0,219,0.96,12,0,,18,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,03/14/2020,03/14/2020,By week,Montana,Week-ending,0,218,1.06,11,0,,18,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,03/21/2020,03/21/2020,By week,Montana,Week-ending,0,227,1.1,21,0,,26,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,03/28/2020,03/28/2020,By week,Montana,Week-ending,,205,1.12,21,,,26,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,04/04/2020,04/04/2020,By week,Montana,Week-ending,,176,0.86,13,0,,17,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,04/11/2020,04/11/2020,By week,Montana,Week-ending,0,211,1.07,10,0,0,10,
05/15/2020,04/18/2020,04/18/2020,By week,Montana,Week-ending,,182,0.9,10,,,14,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,04/25/2020,04/25/2020,By week,Montana,Week-ending,,149,0.77,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,05/02/2020,05/02/2020,By week,Montana,Week-ending,,49,0.26,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,05/09/2020,05/09/2020,By week,Montana,Week-ending,0,0,0,0,0,0,0,
05/15/2020,02/01/2020,02/01/2020,By week,Nebraska,Week-ending,0,372,1.07,28,0,,34,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,02/08/2020,02/08/2020,By week,Nebraska,Week-ending,0,345,0.94,21,0,,27,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,02/15/2020,02/15/2020,By week,Nebraska,Week-ending,0,325,0.95,28,0,,31,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,02/22/2020,02/22/2020,By week,Nebraska,Week-ending,0,316,0.88,29,0,,31,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,02/29/2020,02/29/2020,By week,Nebraska,Week-ending,0,340,0.99,22,0,,24,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,03/07/2020,03/07/2020,By week,Nebraska,Week-ending,0,355,1.02,29,0,,31,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,03/14/2020,03/14/2020,By week,Nebraska,Week-ending,0,339,0.96,24,0,,25,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,03/21/2020,03/21/2020,By week,Nebraska,Week-ending,0,348,1.11,31,0,,33,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,03/28/2020,03/28/2020,By week,Nebraska,Week-ending,,326,0.93,21,0,,24,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,04/04/2020,04/04/2020,By week,Nebraska,Week-ending,,300,0.88,29,,,34,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,04/11/2020,04/11/2020,By week,Nebraska,Week-ending,10,312,0.96,19,,0,27,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,04/18/2020,04/18/2020,By week,Nebraska,Week-ending,,265,0.83,22,0,,26,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,04/25/2020,04/25/2020,By week,Nebraska,Week-ending,,260,0.83,17,,0,22,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,05/02/2020,05/02/2020,By week,Nebraska,Week-ending,12,231,0.72,20,,0,28,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,05/09/2020,05/09/2020,By week,Nebraska,Week-ending,,86,0.27,10,0,0,12,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,02/01/2020,02/01/2020,By week,Nevada,Week-ending,0,529,1,32,0,,38,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,02/08/2020,02/08/2020,By week,Nevada,Week-ending,0,577,1.07,45,0,,51,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,02/15/2020,02/15/2020,By week,Nevada,Week-ending,0,527,1.05,29,0,,34,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,02/22/2020,02/22/2020,By week,Nevada,Week-ending,0,542,1.06,25,0,,26,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,02/29/2020,02/29/2020,By week,Nevada,Week-ending,0,540,0.99,39,0,,43,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,03/07/2020,03/07/2020,By week,Nevada,Week-ending,0,532,1.03,32,0,,36,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,03/14/2020,03/14/2020,By week,Nevada,Week-ending,0,506,0.94,45,0,,50,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,03/21/2020,03/21/2020,By week,Nevada,Week-ending,,500,0.98,47,,,51,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,03/28/2020,03/28/2020,By week,Nevada,Week-ending,18,528,1.07,56,15,,61,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,04/04/2020,04/04/2020,By week,Nevada,Week-ending,41,577,1.13,72,31,,83,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,04/11/2020,04/11/2020,By week,Nevada,Week-ending,50,558,1.1,85,39,0,96,
05/15/2020,04/18/2020,04/18/2020,By week,Nevada,Week-ending,40,512,1.02,48,30,,59,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,04/25/2020,04/25/2020,By week,Nevada,Week-ending,53,491,0.95,70,43,0,80,
05/15/2020,05/02/2020,05/02/2020,By week,Nevada,Week-ending,24,407,0.83,46,18,0,52,
05/15/2020,05/09/2020,05/09/2020,By week,Nevada,Week-ending,,247,0.51,13,,0,17,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,02/01/2020,02/01/2020,By week,New Hampshire,Week-ending,0,240,0.89,12,0,,15,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,02/08/2020,02/08/2020,By week,New Hampshire,Week-ending,0,257,1.01,12,0,,17,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,02/15/2020,02/15/2020,By week,New Hampshire,Week-ending,0,236,0.87,10,0,,12,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,02/22/2020,02/22/2020,By week,New Hampshire,Week-ending,0,277,1.05,25,0,,27,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,02/29/2020,02/29/2020,By week,New Hampshire,Week-ending,0,228,0.94,14,0,,21,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,03/07/2020,03/07/2020,By week,New Hampshire,Week-ending,0,267,1.05,16,0,,20,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,03/14/2020,03/14/2020,By week,New Hampshire,Week-ending,0,238,1.01,19,0,,21,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,03/21/2020,03/21/2020,By week,New Hampshire,Week-ending,0,252,1.09,20,0,,23,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,03/28/2020,03/28/2020,By week,New Hampshire,Week-ending,,258,1.09,24,,0,26,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,04/04/2020,04/04/2020,By week,New Hampshire,Week-ending,10,245,0.96,13,,,21,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,04/11/2020,04/11/2020,By week,New Hampshire,Week-ending,18,268,1.24,25,,0,37,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,04/18/2020,04/18/2020,By week,New Hampshire,Week-ending,15,241,1.01,16,,0,27,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,04/25/2020,04/25/2020,By week,New Hampshire,Week-ending,17,268,1.08,30,,0,41,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,05/02/2020,05/02/2020,By week,New Hampshire,Week-ending,30,257,1.09,19,,,41,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,05/09/2020,05/09/2020,By week,New Hampshire,Week-ending,22,221,0.92,16,,0,36,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,02/01/2020,02/01/2020,By week,New Jersey,Week-ending,0,1512,0.95,83,0,10,93,
05/15/2020,02/08/2020,02/08/2020,By week,New Jersey,Week-ending,0,1488,0.92,82,0,11,93,
05/15/2020,02/15/2020,02/15/2020,By week,New Jersey,Week-ending,0,1481,0.93,76,0,,83,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,02/22/2020,02/22/2020,By week,New Jersey,Week-ending,0,1486,0.97,79,0,,87,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,02/29/2020,02/29/2020,By week,New Jersey,Week-ending,0,1567,1.04,89,0,12,101,
05/15/2020,03/07/2020,03/07/2020,By week,New Jersey,Week-ending,0,1498,0.98,86,0,11,97,
05/15/2020,03/14/2020,03/14/2020,By week,New Jersey,Week-ending,,1462,1,87,0,,97,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,03/21/2020,03/21/2020,By week,New Jersey,Week-ending,35,1579,1.06,117,21,,139,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,03/28/2020,03/28/2020,By week,New Jersey,Week-ending,271,2097,1.43,330,147,12,466,
05/15/2020,04/04/2020,04/04/2020,By week,New Jersey,Week-ending,1108,3407,2.33,856,573,10,1399,
05/15/2020,04/11/2020,04/11/2020,By week,New Jersey,Week-ending,2014,4457,3.13,1309,1018,,2308,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,04/18/2020,04/18/2020,By week,New Jersey,Week-ending,2004,4225,2.98,1171,937,,2240,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,04/25/2020,04/25/2020,By week,New Jersey,Week-ending,1326,3118,2.29,845,660,,1513,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,05/02/2020,05/02/2020,By week,New Jersey,Week-ending,401,1527,1.09,286,204,0,483,
05/15/2020,05/09/2020,05/09/2020,By week,New Jersey,Week-ending,76,388,0.29,49,32,0,93,
05/15/2020,02/01/2020,02/01/2020,By week,New Mexico,Week-ending,0,361,0.97,26,0,,31,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,02/08/2020,02/08/2020,By week,New Mexico,Week-ending,0,360,0.9,19,0,,23,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,02/15/2020,02/15/2020,By week,New Mexico,Week-ending,0,375,1.01,32,0,,37,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,02/22/2020,02/22/2020,By week,New Mexico,Week-ending,0,373,0.96,23,0,,25,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,02/29/2020,02/29/2020,By week,New Mexico,Week-ending,0,389,1.01,24,0,,25,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,03/07/2020,03/07/2020,By week,New Mexico,Week-ending,0,380,1.04,23,0,,27,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,03/14/2020,03/14/2020,By week,New Mexico,Week-ending,0,327,0.86,21,0,,22,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,03/21/2020,03/21/2020,By week,New Mexico,Week-ending,0,367,0.99,27,0,,31,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,03/28/2020,03/28/2020,By week,New Mexico,Week-ending,,342,0.97,22,,,24,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,04/04/2020,04/04/2020,By week,New Mexico,Week-ending,,375,1.05,30,,0,34,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,04/11/2020,04/11/2020,By week,New Mexico,Week-ending,20,368,0.98,34,,0,45,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,04/18/2020,04/18/2020,By week,New Mexico,Week-ending,31,376,1.08,39,18,0,52,
05/15/2020,04/25/2020,04/25/2020,By week,New Mexico,Week-ending,34,326,0.91,33,14,0,53,
05/15/2020,05/02/2020,05/02/2020,By week,New Mexico,Week-ending,34,272,0.77,22,15,0,41,
05/15/2020,05/09/2020,05/09/2020,By week,New Mexico,Week-ending,17,170,0.47,13,,0,25,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,02/01/2020,02/01/2020,By week,New York,Week-ending,0,2017,0.98,145,0,16,161,
05/15/2020,02/08/2020,02/08/2020,By week,New York,Week-ending,0,2045,0.96,149,0,21,170,
05/15/2020,02/15/2020,02/15/2020,By week,New York,Week-ending,0,1970,0.96,159,0,14,173,
05/15/2020,02/22/2020,02/22/2020,By week,New York,Week-ending,0,2007,0.96,155,0,25,180,
05/15/2020,02/29/2020,02/29/2020,By week,New York,Week-ending,0,2100,1.04,157,0,16,173,
05/15/2020,03/07/2020,03/07/2020,By week,New York,Week-ending,0,1994,0.96,161,0,23,184,
05/15/2020,03/14/2020,03/14/2020,By week,New York,Week-ending,,1880,0.94,167,,19,186,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,03/21/2020,03/21/2020,By week,New York,Week-ending,40,2017,1,204,21,14,237,
05/15/2020,03/28/2020,03/28/2020,By week,New York,Week-ending,256,2405,1.22,402,156,15,515,
05/15/2020,04/04/2020,04/04/2020,By week,New York,Week-ending,945,3538,1.83,862,535,13,1281,
05/15/2020,04/11/2020,04/11/2020,By week,New York,Week-ending,1826,4444,2.26,1259,957,11,2135,
05/15/2020,04/18/2020,04/18/2020,By week,New York,Week-ending,1782,4199,2.17,1153,887,,2051,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,04/25/2020,04/25/2020,By week,New York,Week-ending,1263,3336,1.76,802,601,,1465,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,05/02/2020,05/02/2020,By week,New York,Week-ending,786,2644,1.39,502,350,,939,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,05/09/2020,05/09/2020,By week,New York,Week-ending,368,1798,1,251,167,,453,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,02/01/2020,02/01/2020,By week,New York City,Week-ending,0,1168,1.02,95,0,19,114,
05/15/2020,02/08/2020,02/08/2020,By week,New York City,Week-ending,0,1170,0.98,95,0,18,113,
05/15/2020,02/15/2020,02/15/2020,By week,New York City,Week-ending,0,1130,0.99,86,0,13,99,
05/15/2020,02/22/2020,02/22/2020,By week,New York City,Week-ending,0,1092,1.01,75,0,,84,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,02/29/2020,02/29/2020,By week,New York City,Week-ending,0,1107,1.01,83,0,,89,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,03/07/2020,03/07/2020,By week,New York City,Week-ending,0,1112,1.01,92,0,,100,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,03/14/2020,03/14/2020,By week,New York City,Week-ending,,1127,1.04,103,,,112,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,03/21/2020,03/21/2020,By week,New York City,Week-ending,116,1396,1.33,154,37,14,243,
05/15/2020,03/28/2020,03/28/2020,By week,New York City,Week-ending,911,2745,2.67,589,344,46,1164,
05/15/2020,04/04/2020,04/04/2020,By week,New York City,Week-ending,2944,5992,5.82,1693,1238,209,3408,
05/15/2020,04/11/2020,04/11/2020,By week,New York City,Week-ending,4412,7535,7.07,2021,1648,321,4796,
05/15/2020,04/18/2020,04/18/2020,By week,New York City,Week-ending,3470,5474,5.39,1388,1225,170,3636,
05/15/2020,04/25/2020,04/25/2020,By week,New York City,Week-ending,2125,3523,3.57,936,822,76,2244,
05/15/2020,05/02/2020,05/02/2020,By week,New York City,Week-ending,988,1985,1.97,451,379,,1062,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,05/09/2020,05/09/2020,By week,New York City,Week-ending,472,1203,1.22,218,176,,515,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,02/01/2020,02/01/2020,By week,North Carolina,Week-ending,0,1973,1.01,118,0,15,133,
05/15/2020,02/08/2020,02/08/2020,By week,North Carolina,Week-ending,0,2047,1,119,0,20,139,
05/15/2020,02/15/2020,02/15/2020,By week,North Carolina,Week-ending,0,2043,1.02,140,0,26,166,
05/15/2020,02/22/2020,02/22/2020,By week,North Carolina,Week-ending,0,1897,0.96,117,0,29,146,
05/15/2020,02/29/2020,02/29/2020,By week,North Carolina,Week-ending,0,1897,0.99,110,0,30,140,
05/15/2020,03/07/2020,03/07/2020,By week,North Carolina,Week-ending,,1906,0.98,102,0,23,126,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,03/14/2020,03/14/2020,By week,North Carolina,Week-ending,0,1668,0.87,87,0,13,100,
05/15/2020,03/21/2020,03/21/2020,By week,North Carolina,Week-ending,0,1271,0.67,72,0,17,89,
05/15/2020,03/28/2020,03/28/2020,By week,North Carolina,Week-ending,,490,0.26,44,,,49,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,04/04/2020,04/04/2020,By week,North Carolina,Week-ending,30,129,0.07,23,11,0,42,
05/15/2020,04/11/2020,04/11/2020,By week,North Carolina,Week-ending,35,36,0.02,15,15,0,35,
05/15/2020,04/18/2020,04/18/2020,By week,North Carolina,Week-ending,56,59,0.03,19,19,0,56,
05/15/2020,04/25/2020,04/25/2020,By week,North Carolina,Week-ending,14,14,0.01,,,0,14,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,05/02/2020,05/02/2020,By week,North Carolina,Week-ending,,,0,0,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,05/09/2020,05/09/2020,By week,North Carolina,Week-ending,0,0,0,0,0,0,0,
